pools: 1785 deals to solve (POOL=40/viewer, 1785 kept total)
[pools] 1060/1785  238s  eta 2.7m  (267.1/min)  
[pools] 1070/1785  240s  eta 2.7m  (267.3/min)  
[pools] 1080/1785  242s  eta 2.6m  (267.4/min)  
[pools] 1090/1785  245s  eta 2.6m  (267.2/min)  
[pools] 1100/1785  247s  eta 2.6m  (267.4/min)  
[pools] 1110/1785  249s  eta 2.5m  (267.1/min)  
[pools] 1120/1785  251s  eta 2.5m  (267.4/min)  
[pools] 1130/1785  254s  eta 2.5m  (267.1/min)  
[pools] 1140/1785  256s  eta 2.4m  (267.2/min)  
[pools] 1150/1785  258s  eta 2.4m  (267.4/min)  
[pools] 1160/1785  261s  eta 2.3m  (267.1/min)  
[pools] 1170/1785  263s  eta 2.3m  (267.4/min)  
[pools] 1180/1785  265s  eta 2.3m  (267.4/min)  
[pools] 1190/1785  267s  eta 2.2m  (267.0/min)  
[pools] 1200/1785  269s  eta 2.2m  (267.3/min)  
[pools] 1210/1785  271s  eta 2.1m  (267.6/min)  
[pools] 1220/1785  274s  eta 2.1m  (267.4/min)  
[pools] 1230/1785  276s  eta 2.1m  (267.8/min)  
[pools] 1240/1785  278s  eta 2.0m  (267.7/min)  
[pools] 1250/1785  280s  eta 2.0m  (268.1/min)  
[pools] 1260/1785  282s  eta 2.0m  (268.1/min)  
[pools] 1270/1785  284s  eta 1.9m  (268.1/min)  
[pools] 1280/1785  287s  eta 1.9m  (268.0/min)  
[pools] 1290/1785  289s  eta 1.8m  (268.2/min)  
[pools] 1300/1785  291s  eta 1.8m  (268.0/min)  
[pools] 1310/1785  293s  eta 1.8m  (268.0/min)  
[pools] 1320/1785  296s  eta 1.7m  (267.7/min)  
[pools] 1330/1785  298s  eta 1.7m  (267.9/min)  
[pools] 1340/1785  300s  eta 1.7m  (267.9/min)  
[pools] 1350/1785  302s  eta 1.6m  (268.0/min)  
[pools] 1360/1785  304s  eta 1.6m  (268.2/min)  
[pools] 1370/1785  306s  eta 1.5m  (268.2/min)  
[pools] 1380/1785  309s  eta 1.5m  (268.3/min)  
[pools] 1390/1785  311s  eta 1.5m  (268.4/min)  
[pools] 1400/1785  313s  eta 1.4m  (268.4/min)  
[pools] 1410/1785  315s  eta 1.4m  (268.4/min)  
[pools] 1420/1785  318s  eta 1.4m  (268.3/min)  
[pools] 1430/1785  320s  eta 1.3m  (267.9/min)  
[pools] 1440/1785  322s  eta 1.3m  (268.0/min)  
[pools] 1450/1785  324s  eta 1.2m  (268.2/min)  
[pools] 1460/1785  327s  eta 1.2m  (268.0/min)  
[pools] 1470/1785  329s  eta 1.2m  (268.2/min)  
[pools] 1480/1785  331s  eta 1.1m  (268.4/min)  
[pools] 1490/1785  333s  eta 1.1m  (268.5/min)  
[pools] 1500/1785  335s  eta 1.1m  (268.5/min)  
[pools] 1510/1785  337s  eta 1.0m  (268.7/min)  
[pools] 1520/1785  339s  eta 1.0m  (268.8/min)  
[pools] 1530/1785  341s  eta 0.9m  (268.9/min)  
[pools] 1540/1785  344s  eta 0.9m  (268.7/min)  
[pools] 1550/1785  346s  eta 0.9m  (268.7/min)  
[pools] 1560/1785  348s  eta 0.8m  (269.0/min)  
[pools] 1570/1785  350s  eta 0.8m  (269.1/min)  
[pools] 1580/1785  352s  eta 0.8m  (269.0/min)  
[pools] 1590/1785  355s  eta 0.7m  (268.8/min)  
[pools] 1600/1785  357s  eta 0.7m  (268.8/min)  
[pools] 1610/1785  359s  eta 0.7m  (269.2/min)  
[pools] 1620/1785  362s  eta 0.6m  (268.6/min)  
[pools] 1630/1785  364s  eta 0.6m  (268.6/min)  
[pools] 1640/1785  366s  eta 0.5m  (269.0/min)  
[pools] 1650/1785  369s  eta 0.5m  (268.6/min)  
[pools] 1660/1785  371s  eta 0.5m  (268.8/min)  
[pools] 1670/1785  373s  eta 0.4m  (268.9/min)  
[pools] 1680/1785  375s  eta 0.4m  (268.9/min)  
[pools] 1690/1785  377s  eta 0.4m  (269.2/min)  
[pools] 1700/1785  379s  eta 0.3m  (269.2/min)  
[pools] 1710/1785  382s  eta 0.3m  (268.9/min)  
[pools] 1720/1785  384s  eta 0.2m  (269.0/min)  
[pools] 1730/1785  386s  eta 0.2m  (268.8/min)  
[pools] 1740/1785  388s  eta 0.2m  (269.0/min)  
[pools] 1750/1785  390s  eta 0.1m  (269.2/min)  
[pools] 1760/1785  392s  eta 0.1m  (269.4/min)  
[pools] 1770/1785  394s  eta 0.1m  (269.2/min)  
[pools] 1780/1785  396s  eta 0.0m  (269.6/min)  
pools done
