pools: 3589 deals to solve (POOL=40/viewer, 5374 kept total)
[pools] 1060/3589  235s  eta 9.3m  (270.9/min)  
[pools] 1070/3589  237s  eta 9.3m  (270.9/min)  
[pools] 1080/3589  239s  eta 9.3m  (270.7/min)  
[pools] 1090/3589  242s  eta 9.2m  (270.6/min)  
[pools] 1100/3589  244s  eta 9.2m  (271.0/min)  
[pools] 1110/3589  246s  eta 9.2m  (270.7/min)  
[pools] 1120/3589  249s  eta 9.1m  (270.2/min)  
[pools] 1130/3589  251s  eta 9.1m  (269.8/min)  
[pools] 1140/3589  254s  eta 9.1m  (269.6/min)  
[pools] 1150/3589  256s  eta 9.0m  (269.6/min)  
[pools] 1160/3589  258s  eta 9.0m  (269.8/min)  
[pools] 1170/3589  261s  eta 9.0m  (269.5/min)  
[pools] 1180/3589  262s  eta 8.9m  (269.9/min)  
[pools] 1190/3589  264s  eta 8.9m  (270.2/min)  
[pools] 1200/3589  266s  eta 8.8m  (270.2/min)  
[pools] 1210/3589  269s  eta 8.8m  (270.3/min)  
[pools] 1220/3589  271s  eta 8.8m  (270.6/min)  
[pools] 1230/3589  273s  eta 8.7m  (270.2/min)  
[pools] 1240/3589  275s  eta 8.7m  (270.5/min)  
[pools] 1250/3589  277s  eta 8.7m  (270.4/min)  
[pools] 1260/3589  279s  eta 8.6m  (270.9/min)  
[pools] 1270/3589  281s  eta 8.6m  (270.9/min)  
[pools] 1280/3589  283s  eta 8.5m  (270.9/min)  
[pools] 1290/3589  285s  eta 8.5m  (271.2/min)  
[pools] 1300/3589  288s  eta 8.5m  (270.7/min)  
[pools] 1310/3589  290s  eta 8.4m  (271.0/min)  
[pools] 1320/3589  292s  eta 8.4m  (270.8/min)  
[pools] 1330/3589  295s  eta 8.3m  (270.9/min)  
[pools] 1340/3589  297s  eta 8.3m  (270.4/min)  
[pools] 1350/3589  300s  eta 8.3m  (270.3/min)  
[pools] 1360/3589  302s  eta 8.2m  (270.4/min)  
[pools] 1370/3589  304s  eta 8.2m  (270.6/min)  
[pools] 1380/3589  306s  eta 8.2m  (270.3/min)  
[pools] 1390/3589  308s  eta 8.1m  (270.6/min)  
[pools] 1400/3589  310s  eta 8.1m  (270.8/min)  
[pools] 1410/3589  313s  eta 8.0m  (270.7/min)  
[pools] 1420/3589  315s  eta 8.0m  (270.8/min)  
[pools] 1430/3589  316s  eta 8.0m  (271.2/min)  
[pools] 1440/3589  319s  eta 7.9m  (271.2/min)  
[pools] 1450/3589  321s  eta 7.9m  (271.4/min)  
[pools] 1460/3589  322s  eta 7.8m  (271.6/min)  
[pools] 1470/3589  325s  eta 7.8m  (271.7/min)  
[pools] 1480/3589  327s  eta 7.8m  (271.7/min)  
[pools] 1490/3589  329s  eta 7.7m  (271.7/min)  
[pools] 1500/3589  332s  eta 7.7m  (271.5/min)  
[pools] 1510/3589  334s  eta 7.7m  (271.2/min)  
[pools] 1520/3589  336s  eta 7.6m  (271.5/min)  
