build: 2000 new seeds (target 2000); POOL n/a here
[build] 1660/2000  496s  eta 1.7m  (200.7/min)  kept 1473 (89%)
[build] 1680/2000  503s  eta 1.6m  (200.5/min)  kept 1490 (89%)
[build] 1700/2000  509s  eta 1.5m  (200.4/min)  kept 1508 (89%)
[build] 1720/2000  514s  eta 1.4m  (200.8/min)  kept 1525 (89%)
[build] 1740/2000  520s  eta 1.3m  (200.8/min)  kept 1542 (89%)
[build] 1760/2000  526s  eta 1.2m  (200.6/min)  kept 1560 (89%)
[build] 1780/2000  533s  eta 1.1m  (200.3/min)  kept 1580 (89%)
[build] 1800/2000  538s  eta 1.0m  (200.6/min)  kept 1600 (89%)
[build] 1820/2000  544s  eta 0.9m  (200.9/min)  kept 1619 (89%)
[build] 1840/2000  549s  eta 0.8m  (201.2/min)  kept 1636 (89%)
[build] 1860/2000  555s  eta 0.7m  (201.0/min)  kept 1655 (89%)
[build] 1880/2000  562s  eta 0.6m  (200.7/min)  kept 1674 (89%)
[build] 1900/2000  569s  eta 0.5m  (200.4/min)  kept 1694 (89%)
[build] 1920/2000  575s  eta 0.4m  (200.3/min)  kept 1713 (89%)
[build] 1940/2000  580s  eta 0.3m  (200.6/min)  kept 1733 (89%)
[build] 1960/2000  585s  eta 0.2m  (200.9/min)  kept 1751 (89%)
[build] 1980/2000  592s  eta 0.1m  (200.8/min)  kept 1768 (89%)
[build] 2000/2000  595s  eta 0.0m  (201.6/min)  kept 1785 (89%)
build done: 1785 colored-simple deals kept
