exp29 frontier self-play: 6000 deals (KONTRA=1, full auction, PIMC play)
[selfplay] 2750/6000 1450s eta 28.6m  passz 11%
[selfplay] 2775/6000 1462s eta 28.3m  passz 11%
[selfplay] 2800/6000 1473s eta 28.1m  passz 11%
[selfplay] 2825/6000 1485s eta 27.8m  passz 11%
[selfplay] 2850/6000 1494s eta 27.5m  passz 11%
[selfplay] 2875/6000 1507s eta 27.3m  passz 11%
[selfplay] 2900/6000 1522s eta 27.1m  passz 11%
[selfplay] 2925/6000 1537s eta 26.9m  passz 11%
[selfplay] 2950/6000 1552s eta 26.7m  passz 11%
[selfplay] 2975/6000 1568s eta 26.6m  passz 10%
[selfplay] 3000/6000 1579s eta 26.3m  passz 10%
[selfplay] 3025/6000 1595s eta 26.1m  passz 10%
[selfplay] 3050/6000 1605s eta 25.9m  passz 11%
[selfplay] 3075/6000 1621s eta 25.7m  passz 11%
[selfplay] 3100/6000 1638s eta 25.5m  passz 11%
[selfplay] 3125/6000 1655s eta 25.4m  passz 10%
[selfplay] 3150/6000 1674s eta 25.2m  passz 10%
[selfplay] 3175/6000 1686s eta 25.0m  passz 10%
[selfplay] 3200/6000 1702s eta 24.8m  passz 10%
[selfplay] 3225/6000 1716s eta 24.6m  passz 11%
[selfplay] 3250/6000 1727s eta 24.4m  passz 11%
[selfplay] 3275/6000 1739s eta 24.1m  passz 11%
[selfplay] 3300/6000 1750s eta 23.9m  passz 11%
[selfplay] 3325/6000 1763s eta 23.6m  passz 11%
[selfplay] 3350/6000 1780s eta 23.5m  passz 11%
[selfplay] 3375/6000 1795s eta 23.3m  passz 11%
[selfplay] 3400/6000 1807s eta 23.0m  passz 11%
[selfplay] 3425/6000 1820s eta 22.8m  passz 11%
[selfplay] 3450/6000 1833s eta 22.6m  passz 11%
[selfplay] 3475/6000 1847s eta 22.4m  passz 11%
[selfplay] 3500/6000 1858s eta 22.1m  passz 11%
[selfplay] 3525/6000 1873s eta 21.9m  passz 11%
[selfplay] 3550/6000 1886s eta 21.7m  passz 11%
[selfplay] 3575/6000 1902s eta 21.5m  passz 11%
[selfplay] 3600/6000 1912s eta 21.2m  passz 11%
[selfplay] 3625/6000 1923s eta 21.0m  passz 11%
[selfplay] 3650/6000 1941s eta 20.8m  passz 11%
[selfplay] 3675/6000 1951s eta 20.6m  passz 11%
[selfplay] 3700/6000 1961s eta 20.3m  passz 11%
[selfplay] 3725/6000 1971s eta 20.1m  passz 11%
[selfplay] 3750/6000 1988s eta 19.9m  passz 11%
[selfplay] 3775/6000 2005s eta 19.7m  passz 11%
[selfplay] 3800/6000 2017s eta 19.5m  passz 11%
[selfplay] 3825/6000 2027s eta 19.2m  passz 11%
[selfplay] 3850/6000 2042s eta 19.0m  passz 11%
[selfplay] 3875/6000 2056s eta 18.8m  passz 11%
[selfplay] 3900/6000 2070s eta 18.6m  passz 11%
[selfplay] 3925/6000 2080s eta 18.3m  passz 11%
[selfplay] 3950/6000 2090s eta 18.1m  passz 11%
[selfplay] 3975/6000 2103s eta 17.9m  passz 11%
[selfplay] 4000/6000 2118s eta 17.6m  passz 11%
[selfplay] 4025/6000 2137s eta 17.5m  passz 11%
[selfplay] 4050/6000 2147s eta 17.2m  passz 11%
[selfplay] 4075/6000 2160s eta 17.0m  passz 11%
[selfplay] 4100/6000 2172s eta 16.8m  passz 11%
[selfplay] 4125/6000 2194s eta 16.6m  passz 11%
[selfplay] 4150/6000 2207s eta 16.4m  passz 11%
[selfplay] 4175/6000 2220s eta 16.2m  passz 10%
[selfplay] 4200/6000 2233s eta 15.9m  passz 10%
[selfplay] 4225/6000 2245s eta 15.7m  passz 11%
[selfplay] 4250/6000 2255s eta 15.5m  passz 10%
[selfplay] 4275/6000 2265s eta 15.2m  passz 11%
[selfplay] 4300/6000 2279s eta 15.0m  passz 10%
[selfplay] 4325/6000 2294s eta 14.8m  passz 10%
[selfplay] 4350/6000 2311s eta 14.6m  passz 10%
[selfplay] 4375/6000 2327s eta 14.4m  passz 10%
[selfplay] 4400/6000 2339s eta 14.2m  passz 10%
[selfplay] 4425/6000 2350s eta 13.9m  passz 11%
[selfplay] 4450/6000 2365s eta 13.7m  passz 10%
[selfplay] 4475/6000 2378s eta 13.5m  passz 10%
[selfplay] 4500/6000 2388s eta 13.3m  passz 11%
[selfplay] 4525/6000 2398s eta 13.0m  passz 10%
[selfplay] 4550/6000 2411s eta 12.8m  passz 10%
[selfplay] 4575/6000 2424s eta 12.6m  passz 11%
[selfplay] 4600/6000 2435s eta 12.4m  passz 10%
[selfplay] 4625/6000 2446s eta 12.1m  passz 11%
[selfplay] 4650/6000 2460s eta 11.9m  passz 10%
[selfplay] 4675/6000 2473s eta 11.7m  passz 11%
[selfplay] 4700/6000 2485s eta 11.5m  passz 11%
[selfplay] 4725/6000 2498s eta 11.2m  passz 10%
[selfplay] 4750/6000 2510s eta 11.0m  passz 10%
[selfplay] 4775/6000 2523s eta 10.8m  passz 10%
[selfplay] 4800/6000 2537s eta 10.6m  passz 10%
[selfplay] 4825/6000 2558s eta 10.4m  passz 10%
[selfplay] 4850/6000 2580s eta 10.2m  passz 10%
[selfplay] 4875/6000 2592s eta 10.0m  passz 10%
[selfplay] 4900/6000 2610s eta 9.8m  passz 10%
[selfplay] 4925/6000 2628s eta 9.6m  passz 10%
[selfplay] 4950/6000 2644s eta 9.3m  passz 10%
[selfplay] 4975/6000 2654s eta 9.1m  passz 10%
[selfplay] 5000/6000 2668s eta 8.9m  passz 10%
[selfplay] 5025/6000 2685s eta 8.7m  passz 10%
[selfplay] 5050/6000 2693s eta 8.4m  passz 10%
[selfplay] 5075/6000 2703s eta 8.2m  passz 10%
[selfplay] 5100/6000 2716s eta 8.0m  passz 10%
[selfplay] 5125/6000 2733s eta 7.8m  passz 10%
[selfplay] 5150/6000 2745s eta 7.6m  passz 10%
[selfplay] 5175/6000 2758s eta 7.3m  passz 10%
[selfplay] 5200/6000 2765s eta 7.1m  passz 10%
[selfplay] 5225/6000 2776s eta 6.9m  passz 10%
[selfplay] 5250/6000 2789s eta 6.6m  passz 10%
[selfplay] 5275/6000 2807s eta 6.4m  passz 10%
[selfplay] 5300/6000 2813s eta 6.2m  passz 10%
[selfplay] 5325/6000 2828s eta 6.0m  passz 10%
[selfplay] 5350/6000 2839s eta 5.7m  passz 10%
[selfplay] 5375/6000 2863s eta 5.5m  passz 10%
[selfplay] 5400/6000 2881s eta 5.3m  passz 10%
[selfplay] 5425/6000 2894s eta 5.1m  passz 10%
[selfplay] 5450/6000 2909s eta 4.9m  passz 10%
[selfplay] 5475/6000 2922s eta 4.7m  passz 10%
[selfplay] 5500/6000 2933s eta 4.4m  passz 10%
[selfplay] 5525/6000 2951s eta 4.2m  passz 10%
[selfplay] 5550/6000 2968s eta 4.0m  passz 10%
[selfplay] 5575/6000 2981s eta 3.8m  passz 10%
[selfplay] 5600/6000 2992s eta 3.6m  passz 10%
[selfplay] 5625/6000 3003s eta 3.3m  passz 10%
[selfplay] 5650/6000 3018s eta 3.1m  passz 10%
[selfplay] 5675/6000 3032s eta 2.9m  passz 10%
[selfplay] 5700/6000 3043s eta 2.7m  passz 10%
[selfplay] 5725/6000 3056s eta 2.4m  passz 10%
[selfplay] 5750/6000 3068s eta 2.2m  passz 10%
[selfplay] 5775/6000 3080s eta 2.0m  passz 10%
[selfplay] 5800/6000 3097s eta 1.8m  passz 10%
[selfplay] 5825/6000 3113s eta 1.6m  passz 10%
[selfplay] 5850/6000 3126s eta 1.3m  passz 10%
[selfplay] 5875/6000 3139s eta 1.1m  passz 10%
[selfplay] 5900/6000 3156s eta 0.9m  passz 10%
[selfplay] 5925/6000 3167s eta 0.7m  passz 10%
[selfplay] 5950/6000 3179s eta 0.4m  passz 10%
[selfplay] 5975/6000 3189s eta 0.2m  passz 10%
[selfplay] 6000/6000 3200s eta 0.0m  passz 10%
done: 6000 deals, 608 passz
